0,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,supplier,Region of origin,deposit,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Freshness guarantee (minimum),Refrigerated (+2 to +7°C) best before,Characteristics,Country of origin,Information about the offer,storage,May contain traces of,drained weight,of it strength,Description,Note on the freshness guarantee,Monounsaturated fatty acids,Insert currywurst slices,gross weight,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Notice,thereof polyols,Polyunsaturated fatty acids
30,30,Innocent Coconut Water,"2,69€","Pure 100% coconut water from Fairtrade coconuts. Free from preservatives and other additives. No added sugar, no added water. , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/47838-innocent-innocent-kokosnusswasser/,https://bilder.kolonial.no/local_products/09f332bb-fdb1-4037-b6a2-192995a6fec0.jpg?auto=format&fit=max&w=516&s=02fda07e12ea4dad86cb46735314e5ee,0.07 g,0 g,in,2.20 g,3.50 g,0 g,0 g,60 kJ / 14 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",Philippines,in,100% Fair Trade** Kokosnuss Saft (Direktsaft). **Fair Trade Certified bay Fair Trade USA,500 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
31,31,Voelkel Shot Ingwer & Turmeric,"3,99€","6x immune power for your day: the ginger shot with natural vitamin C from acerola, fruity and tart with orange and turmeric, Voelkel GmbH Naturkostsafterei has provided the above information.",https://oda.com//de/products/44306-demeter-voelkel-shot-ingwer-kurkuma/,https://bilder.kolonial.no/local_products/795f3966-7d7b-47b1-9a41-45015039a90c.jpg?auto=format&fit=max&w=313&s=a6558bfa3ba84364516ec5c641df4501,in,0.80 g,in,6 g,6 g,in,in,163 kJ / 39 kcal,"Voelkel GmbH Naturkostsafterei, Fährstr. 1, D-29478 Höhbeck / OT Pevestorf, Germany",Deutschland,in,"Orange juice** 74%, acerola pulp* 10%, ginger juice** 10%, turmeric juice** 5%, lemon juice**, pepper* 0.01%. **from biodynamic production *from controlled ecological production","0,28 Liter",daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
32,32,Voelkel Shot Ingwer,"3,99€","6x immune power for your day: the ginger shot with natural vitamin C from acerola, fresh and spicy in taste, Voelkel GmbH Naturkostsafterei has provided the above information.",https://oda.com//de/products/46590-demeter-voelkel-shot-ingwer/,https://bilder.kolonial.no/local_products/3a27f595-7a80-47bb-a1b5-ac41aa2d5249.jpg?auto=format&fit=max&w=313&s=a502a70851896a54e18855b462830387,in,0.50 g,in,9 g,9 g,in,in,172 kJ / 41 kcal,"Voelkel GmbH Naturkostsafterei, Fährstr. 1, D-29478 Höhbeck / OT Pevestorf, Germany",Deutschland,in,"Apple juice** 78%, acerola pulp* 10%, ginger juice** 10%, lemon juice**. *from controlled ecological production **from biodynamic production","0,28 Liter",daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
33,33,High C Super Shots Immune,"2,49€",".33 High C SuperShots Immune

Vitamin C contributes to the normal functioning of the immune system.

Vitamin D contributes to the normal functioning of the immune system.

Zinc contributes to the normal functioning of the immune system. , Eckes-Granini Deutschland GmbH has provided the above information.",https://oda.com//de/products/42459-hohes-c-hohes-c-super-shots-immun-einweg-mit-pfand/,https://bilder.kolonial.no/local_products/e677e894-ed47-46d5-9c25-32fd9e3446b7.jpg?auto=format&fit=max&w=392&s=16c9467024d7a84c8580c9d843073220,0.01 g,0.50 g,in,8.70 g,9 g,0.10 g,0.50 g,171 kJ / 41 kcal,"Eckes-Granini Deutschland GmbH, Ludwig-Eckes-Platz 1, 55266 Nieder-Olm, Germany",in,"+ 0,25 €","Multi-fruit juice from fruit juice concentrates (apple 51%, orange 25%, acerola 9%, lemon), mango 10% and ginger puree 4%, Madagascar ginger extract 0.07%, turmeric extract 0.02%, zinc lactate, vitamin D","0,33 Liter",daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
34,34,Kanne Brottrunk Bio,"2,59€","For good health. A cooked product with live lactic acid bacteria, which are created from the fermentation process of organic wholemeal bread, our own natural sourdough and water. Can bread drink contains vitamin B12. Vitamin B12 contributes to the normal functioning of the immune system. , Kanne Brottrunk GmbH & Co. Betriebsgesellschaft KG has provided the above information.",https://oda.com//de/products/47056-kanne-kanne-brottrunk-bio/,https://bilder.kolonial.no/local_products/8d74e0cf-0e41-460d-9331-016e07a70ec5.jpg?auto=format&fit=max&w=300&s=007cb04a313ff794d2269347323cf105,0.15 g,in,in,0 g,0 g,in,in,15 kJ / 4 kcal,"Kanne Brottrunk GmbH & Co. Betriebsgesellschaft KG, Bahnhofstr. 68, 59379 Selm-Bork, Germany",Deutschland,in,"Spring water, wholemeal bread (WHOLEMEAL RYE FLOUR*, water, WHOLEMEAL WHEAT FLOUR*, natural sourdough [WHOLEMEAL RYE FLOUR*, water], salt, WHOLEMEAL OAT FLOUR*). *Ingredients from organic farming.","0,75 Liter",daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
35,35,Goldmarie potato salad housewife style,"2,75€","Housewife style potato salad with Lyoner and egg. , Heinrich Kuhlmann GmbH provided the above information.",https://oda.com//de/products/42973-goldmarie-goldmarie-kartoffelsalat-nach-hausfrauen/,https://bilder.kolonial.no/local_products/f03c1d8f-8156-46b1-9b42-64e0faeb176e.jpg?auto=format&fit=max&w=1000&s=869f9c8b529588d6453479e164043b6a,1.10 g,3.60 g,in,5 g,5 g,13 g,13 g,818 kJ / 196 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Potatoes 48%, rapeseed oil, EGGS 8%, Lyoner 8% (pork, bacon, drinking water, table salt, dextrose, acidity regulator: sodium citrate, maltodextrin, spices, antioxidant: ascorbic acid, coloring agent: real carmine), cucumbers, sugar, brandy vinegar, onions, MUSTARD SEEDS, EGG YOLK, table salt, spices, onions, sunflower oil, thickener: xanthan gum, acidifier: acetic acid.",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,5 Take,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
36,36,Goldmarie North German Pasta Salad,"2,75€","North German pasta salad with Lyoner and tangerines. , Heinrich Kuhlmann GmbH provided the above information.",https://oda.com//de/products/43715-goldmarie-goldmarie-norddeutscher-nudelsalat/,https://bilder.kolonial.no/local_products/002c15bc-dbca-49bc-98b7-e1ec8d6f6fa7.jpg?auto=format&fit=max&w=1000&s=4e235f446c7b0accb8f570b6925e3a75,0.80 g,3.20 g,in,8.60 g,8.60 g,14 g,14 g,893 kJ / 213 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Noodles cooked 40% (drinking water DURUM WHEAT, WHEAT FLOUR, WHOLE EGG, table salt), rapeseed oil, drinking water, sugar, EGGS, Lyoner 5% (pork, bacon, drinking water, table salt, dextrose, acidity regulator: sodium citrate, maltodextrin, spices, antioxidant: ascorbic acid, coloring : real carmine), tangerines 5%, spirit vinegar, cucumber, CREAM, table salt, EGG yolk, orange juice concentrate, modified starch, natural flavor, coloring carrot extract, thickening agent: guar gum, xanthan gum; Dye: paprika extract, acidifier: acetic acid.",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,5 Take,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
37,37,BIO COMPANY Organic hummus with pumpkin and sesame,"2,09€",", No detailed information was provided about this product.",https://oda.com//de/products/52674-bio-company-bio-company-bio-hummus-mit-kurbis-und/,https://bilder.kolonial.no/local_products/a98aab59-4b2b-476b-9c6f-211d29c1e5a2.jpg?auto=format&fit=max&w=450&s=57f47b46dcb1fd1113d69a6e046934c9,in,in,in,in,in,in,in,in,"BIO COMPANY, Rheinstrasse 45-46, 12161 Berlin, Germany",Deutschland,in,in,150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
38,38,German lake king prawn BBQ,"2,42€","RGarn HONC BBQ PF SB , Deutsche See GmbH provided the above information.",https://oda.com//de/products/55106-deutsche-see-deutsche-see-riesengarnele-bbq/,https://bilder.kolonial.no/local_products/998d8209-91d2-4fe3-bb5d-435e45e58eba.jpg?auto=format&fit=max&w=400&s=ac232d9ae7cfd30b26760614fafa9262,2.40 g,16 g,in,0.20 g,0.70 g,1.20 g,11.10 g,718 kJ / 172 kcal,"Deutsche See GmbH, Maifischstrasse 3-9, 27572 Bremerhaven, Germany",Deutschland,in,"87% Precooked Prawns (SHRIMP*, acidity regulators: acetic acid, lactic acid, citric acid), salt, antioxidant: SODIUM METABISULPHITE), 13% marinade (rapeseed oil, spices (black pepper, paprika powder, MUSTARD SEEDS, cayenne pepper, turmeric, clove), salt, fully hydrogenated Rapeseed Oil, Apple Extract, Dextrose, Yeast Extract, MUSTARD POWDER, Paprika Oil, Garlic Powder, Herbs (Parsley, Bay Leaf), Flavorings (Smoke Flavor, Natural Onion Flavor), Potato Starch, Sugar, Maltodextrin, Hydrolyzed Rapeseed Protein).",200 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,2 Take,in,in,in,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,in,in,in,in,in,in,in,in,in,in,in,in,in
39,39,For the Dorfkrug salad dressing American,"2,19€","Zum Dorfkrug American Salad Sauce 250ml , Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42182-zum-dorfkrug-zum-dorfkrug-salatsauce-american/,https://bilder.kolonial.no/local_products/84e99166-563a-47c6-93ba-51a8ec89c8d4.jpg?auto=format&fit=max&w=457&s=ac4bf5edef9fbd25eaefac7edf18c525,2.30 g,0.70 g,in,10.70 g,11.90 g,1.80 g,24 g,1102 kJ / 267 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"Water, rapeseed oil, sugar, 5% Bio Balsamico Bianco (wine vinegar, more concentrated
grape must), MUSTARD (water, MUSTARD SEEDS, brandy vinegar, salt),
Orange juice concentrate, double tomato paste, salt, EGG yolk,
modified starch, thickener: xanthan gum, 0.4% herbs, spices",250 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,Chilled productMust be stored between 0-4°C.,in,in,in,in,in,in,in,in,in,in,in,in
40,40,For the Dorfkrug yoghurt salad dressing,"2,19€","Zum Dorfkrug Yoghurt Salad Sauce 250 ml , Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42251-zum-dorfkrug-zum-dorfkrug-joghurt-salatsauce/,https://bilder.kolonial.no/local_products/1b634252-51bc-4106-88c8-3e5fa21be3c9.jpg?auto=format&fit=max&w=457&s=7a32264229527b1ef0ab30bcd6bf295f,1.60 g,1.80 g,in,5.60 g,5.60 g,2.10 g,15 g,682 kJ / 165 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"51% WHOLE MILK YOGHURT, water, rapeseed oil, sugar, salt, lemon juice,
Spirit vinegar, herbs, thickener: xanthan gum, spices",250 Milliliter,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,Chilled productMust be stored between 0-4°C.,in,in,in,in,in,in,in,in,in,in,in,in
41,41,BIO COMPANY Bio Hummus Sesame,"2,09€","Hummus spread based on pureed chickpeas with sesame butter and an oriental aromatic note, seasoned with parsley, garlic and caraway. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52671-bio-company-bio-company-bio-hummus-sesam/,https://bilder.kolonial.no/local_products/b1bbe5b5-ecfa-4424-91d2-eae55596e131.jpg?auto=format&fit=max&w=450&s=a30d0f0cfd2158c8dd01ed9edcfdf22c,1.10 g,6.80 g,in,3 g,13 g,in,28 g,1386 kJ / 335 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",in,in,"Chickpeas* cooked (60%), olive oil*, sunflower oil*, SESAME MUS* (3%), agave syrup*, lemon juice concentrate*, parsley*, garlic*, sea salt, cumin*, paprika*",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,Peanuts.,in,in,in,in,in,in,in,in,in,in,in
42,42,BIO COMPANY Bio Hummus Rote Beete,"2,09€","Hummus spread based on pureed chickpeas with beetroot and fruity fresh apple, seasoned with caraway and lemon juice. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52672-bio-company-bio-company-bio-hummus-rote-beete/,https://bilder.kolonial.no/local_products/c3da7805-23d6-4bb2-b75c-123019986bda.jpg?auto=format&fit=max&w=450&s=f82d93ca6eb44e690067066f39e16ef5,1.40 g,5 g,in,9.20 g,16 g,in,6.90 g,653 kJ / 156 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",in,in,"Chickpeas* cooked 49%, beetroot* cooked 19%, diced apples*, concentrated apple juice*, sunflower oil*, white wine vinegar*, concentrated beetroot juice*, sea salt, concentrated lemon juice*, caraway seeds*",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,"Peanuts, Sesame Seeds.",in,in,in,in,in,in,in,in,in,in,in
43,43,For the Dorfkrug French salad dressing,"1,99€","Zum Dorfkrug French Salad Sauce 250 ml , Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/55195-zum-dorfkrug-zum-dorfkrug-french-salatsauce/,https://bilder.kolonial.no/local_products/df11bacb-b07a-45fd-befd-75a1d8695c59.jpg?auto=format&fit=max&w=457&s=d476a4260bb89d72ee3e335487e0d340,2 g,1.10 g,in,6 g,6.20 g,3 g,38 g,1534 kJ / 372 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"Rapeseed oil, water, WHOLE MILK YOGHURT, 6% MUSTARD (water, MUSTARD SEEDS,
brandy vinegar, salt, sugar, spices), apple juice concentrate, EGG yolk, sugar,
Spirit Vinegar, Salt, Garlic, Lemon Juice, Thickener: Xanthan Gum, Herbs,
Spices",250 Milliliter,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,Chilled productMust be stored between 0-4°C.,in,in,in,in,in,in,in,in,in,in,in,in
44,44,With the Dorfkrug salad dressing honey mustard,"1,49€","Zum Dorfkrug Honey Mustard Salad Sauce 250ml , Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45523-zum-dorfkrug-zum-dorfkrug-salatsauce-honig-senf/,https://bilder.kolonial.no/local_products/4620a87d-5247-42c2-975e-6c7125f3b5d8.jpg?auto=format&fit=max&w=457&s=e4e8bb7e45d1ba91f48153d98890bad4,1.60 g,0.60 g,in,8.70 g,9.80 g,2.20 g,32 g,1361 kJ / 330 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"water, rapeseed oil, 8% MUSTARD (water, MUSTARD SEEDS, brandy vinegar, salt, sugar,
spices, white wine vinegar, sherry vinegar), onions, 6% honey, sugar, brandy vinegar,
Salt, Modified Starch, Thickener: Xanthan Gum, Spices",250 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,Chilled productMust be stored between 0-4°C.,in,in,in,in,in,in,in,in,in,in,in,in
45,45,BIO COMPANY Organic olive mix with herbs,"3,29€","Pitted black and green olives from Spain and Greece, intensely aromatic and marinated in various Mediterranean herbs and olive oil. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52583-bio-company-bio-company-bio-oliven-mix-mit-krauter/,https://bilder.kolonial.no/local_products/5fca5a6a-3b86-4a9d-bcc6-b46a9b4ae625.jpg?auto=format&fit=max&w=450&s=7c0bae14f1404182ddcbea21e1f7d286,2.60 g,1.30 g,in,0.50 g,1 g,in,22 g,851 kJ / 207 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",in,in,"Black olives* and green olives* (92%), herbs* (3%: basil*, parsley*, oregano*, thyme*, rosemary*), sunflower oil*, sea salt, olive oil*, lemon juice concentrate*, potato flakes*",125 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
46,46,The Dorfkrug Sylt fresh salad light,"1,99€","Sylter Salatfrische The Light 250 ml, Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46317-zum-dorfkrug-zum-dorfkrug-sylter-salatfrische-leic/,https://bilder.kolonial.no/local_products/fac67b97-8509-436d-a1ac-261e5a91bf08.jpg?auto=format&fit=max&w=458&s=94443a7e483d345d98d179be898b013d,1.30 g,0.50 g,in,8.10 g,10 g,1.10 g,15 g,752 kJ / 182 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"Water, Rapeseed Oil, Sugar, Onions, Spirit Vinegar, Tapioca Starch, Salt,
thickener: carrageenan, modified starch, acidifier: potassium tartrate,
natural Aroma",250 Milliliter,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,Chilled productMust be stored between 0-4°C.,in,in,in,in,in,in,in,in,in,in,in,in
47,47,BIO COMPANY Bio Couscous-Salat,"3,19€","Fresh, aromatic couscous salad with carrots, leeks, peppers and tomatoes refined and seasoned with lemon juice and turmeric. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52784-bio-company-bio-company-bio-couscous-salat/,https://bilder.kolonial.no/local_products/d9f4fcba-ddd7-4da5-97b7-7dc16b93134f.jpg?auto=format&fit=max&w=1000&s=ba8031400d8166ad0582ffd2e9973e4c,1.90 g,4.70 g,in,3.30 g,21 g,2.70 g,23 g,1306 kJ / 315 kcal,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",Deutschland,in,"Couscous* (27% durum WHEAT* and water), sunflower oil*, lentils* (14%), carrots* (10%), olive oil*, parsley*, leek* (6%), paprika*, tomatoes*, sea salt, agave syrup *, garlic*, concentrated apple juice*, concentrated lemon juice*, brandy vinegar*, sweet paprika*, pepperoni*, turmeric*",200 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
48,48,Noa Hummus Paprika-Chili,"2,49€","Plant-based enjoy NOA

For dipping, snacking & spreading

Without genetic engineering, vegan, gluten-free

Packed in a protective atmosphere, Noa GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46510-noa-noa-hummus-paprika-chili/,https://bilder.kolonial.no/local_products/5c420361-17f2-4dee-b9b2-1a903ceb2951.jpg?auto=format&fit=max&w=1000&s=7be722c7807515a1a1b21da0c7f4607a,1.30 g,6 g,in,3 g,11.50 g,2.10 g,22 g,1155 kJ / 279 kcal,"Noa GmbH & Co. KG, Karwendelstrasse 6-16, 86807 Buchloe, Germany",Deutschland,in,"Boiled chickpeas (46%) (water, chickpeas), rapeseed oil, water, paprika puree (9%), SESAME MUS (5%), tomato paste, raw cane sugar, garlic, table salt, citric acid, chili, spice.",175 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
49,49,With the Dorfkrug Sylt fresh salad,"2,89€","Sylter Salatfrische 500 ml , Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46783-zum-dorfkrug-zum-dorfkrug-sylter-salatfrische/,https://bilder.kolonial.no/local_products/5717f201-7f0a-4f80-a64b-301dbebf3220.jpg?auto=format&fit=max&w=357&s=dcd58177f7fb67f5c185189b8ae54ca6,1.40 g,0.50 g,in,8.30 g,9.90 g,2.20 g,29 g,1261 kJ / 305 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"water, rapeseed oil, sugar, onions, EGG yolk, brandy vinegar, tapioca starch, salt,
Thickener: carrageenan, acidifier: potassium tartrate, natural flavor",500 Milliliter,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,Chilled productMust be stored between 0-4°C.,in,in,in,in,in,in,in,in,in,in,in,in
50,50,With the Dorfkrug Sylt fresh salad,"1,99€","Sylter Salatfrische 250 ml , Zum Dorfkrug Handel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43787-zum-dorfkrug-zum-dorfkrug-sylter-salatfrische/,https://bilder.kolonial.no/local_products/bd758902-126e-47e4-9366-3a98e22a59a0.jpg?auto=format&fit=max&w=458&s=c126e6e9232a0dc446ab96cc2c1c29cc,1.40 g,0.50 g,in,8.30 g,9.90 g,2.20 g,29 g,1261 kJ / 305 kcal,"Zum Dorfkrug Handel GmbH & Co. KG, Rudolf-Diesel-Strasse 6-10, 21629 Neu Wulmstorf, Germany",in,in,"water, rapeseed oil, sugar, onions, EGG yolk, brandy vinegar, tapioca starch, salt,
Thickener: carrageenan, acidifier: potassium tartrate, natural flavor",250 Milliliter,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
51,51,Kühlmann Sweet Honey Peppers,"3,29€","Sweet Honey Peppers 150g , Heinrich Kuhlmann GmbH has provided the above information.",https://oda.com//de/products/45232-kuhlmann-kuhlmann-sweet-honey-peppers/,https://bilder.kolonial.no/local_products/76fb4c70-9457-444d-9f69-568d8d4456ca.jpg?auto=format&fit=max&w=476&s=200999e3eb6701953944791f1181665b,1.30 g,2.10 g,in,6 g,6.90 g,4.90 g,11.70 g,593 kJ / 143 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Mild paprika 47%, FRESH CHEESE 25%, blackened olives (green olives, table salt, stabilizer: iron(II) gluconate; acidifier: lactic acid), green peppers, rapeseed oil, tomato peppers, herbs, brandy vinegar, mango chutney (sugar, mango, brandy vinegar, garlic,
table salt, spices), starch, honey, sugar, MUSTARD SEEDS, table salt, curry, spices,
Firming agent: calcium chloride, acidifier: citric acid.
Despite the greatest care, olive stones or parts of olive stones may occasionally be included.",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
