,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
125,Organic pork goulash,€13.25,"Pork goulash. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59597-biomanufaktur-havelland-bio-schweine-gulasch/,https://bilder.kolonial.no/local_products/8396ec23-4f3b-42dd-8da9-30f0e1a91a4a.jpg?auto=format&fit=max&w=1000&s=2a820d1f8d7a84a05570bbd424e9b959,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,approx. 400 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Schweinegulasch ,,,,,,,,,,,,,,3 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Organic pork fillet,€14.95,"Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59598-biomanufaktur-havelland-bio-schweine-filet-im-stuc/,https://bilder.kolonial.no/local_products/63d10a16-03a1-4900-8404-63a647f155f3.jpg?auto=format&fit=max&w=855&s=e4f47c59093a797d385559dfdd2c1aaa,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,approx. 300 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Schweine Filet ,,,,,,,,,,,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",3 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Organic pork neck steak,€11.95,"Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59599-biomanufaktur-havelland-bio-schweine-nackensteak-2/,https://bilder.kolonial.no/local_products/b78f6dd0-1434-427a-8ad1-a7e1f02478dd.jpg?auto=format&fit=max&w=1000&s=233906c2e68f26e91f2acd669393f4ac,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,approx. 360 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Schweine Nackensteak ,,,,,,,,,,,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",3 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Organic pork schnitzel,€14.40,"pork cutlet. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59600-biomanufaktur-havelland-bio-schweine-schnitzel-2-s/,https://bilder.kolonial.no/local_products/8d0ef01b-50f6-4370-9127-cdfd692e8feb.jpg?auto=format&fit=max&w=1000&s=6ff363b83822700120faf0b059971340,,,,,,,,,,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,approx. 400 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Schweine Schnitzel ,,,,,,,,,,,,,,3 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Organic pork salmon steak,€14.75,"Pork steaks for frying. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59601-biomanufaktur-havelland-bio-schweine-lachssteak-2/,https://bilder.kolonial.no/local_products/4b2cc637-4409-4d57-9091-ab71571bdb69.jpg?auto=format&fit=max&w=1000&s=feabf52d16327dcc5d4ad62e01c9bf02,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,ca. 360 Gramm,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Schweinelachssteak ,,,,,,,,,,,,,,3 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Organic poultry meatball,€4.99," , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59610-biomanufaktur-havelland-bio-geflugel-boulette-2-st/,https://bilder.kolonial.no/local_products/912f4047-0a39-42af-82be-3ceec2db24ed.jpg?auto=format&fit=max&w=662&s=941405f3b7cc31c9d7d63cee417caadd,,,,,,9.10 g,785 kJ / 187 kcal,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.","84% Geflügelfleisch (Hähnchen*, Pute*), Zwiebeln*, Paniermehl*(WEIZENMEHL*, Speisalz, Hefe*), Wasser, Rapsöl*, Meersalz, Rohrzucker*, Stabilisator: Natriumcitrat, Gewürze*, Petersilie*, Dextrose* ",170 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,2.10 g,18.20 g,1.20 g,7.70 g,,,,Deutschland,,,,,,,,,,,,,,,6 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Organic bratwurst,€4.89,"Fine bratwurst with cumin, in a loin. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59613-biomanufaktur-havelland-bio-bratwurst-4-stuck/,https://bilder.kolonial.no/local_products/b3839b39-5854-49a7-9dbf-e0783b9091f8.jpg?auto=format&fit=max&w=1000&s=a5ce5dc4a23db5ec9d8bb0d32f9b299d,,,,,,32 g,1427 kJ / 339 kcal,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Erdnüsse, Sojabohnen, Milch, Nüssen, Sellerie, Senf.",,,täglich,"Meat, sausage & fish",Meat & meat alternatives,oda,2.20 g,12 g,0.50 g,1 g,,,,Deutschland,"74% Schweinefleisch*, Wasser, Speck*, Meersalz, Gewürze*, Rohrzucker*, Stabilisator: Natriumcitrat, Majoran*, Kümmel ganz*, Dextrose*, Saitling",250 Gramm,,,,,,,,,,,,,6 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Organic poultry bratwurst,€5.29," , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59614-biomanufaktur-havelland-bio-geflugel-bratwurst-8-s/,https://bilder.kolonial.no/local_products/ede477a6-59d1-4594-9590-158ec7838083.jpg?auto=format&fit=max&w=662&s=7fd50b4dbf63fc46ebf6fecac60461c4,,,,,,18.70 g,930 kJ / 244 kcal,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Erdnüsse, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.","73% Geflügelfleisch* (Hähnchen*, Pute*), GeflügelFat mit Haut* (Hähnchen*, Pute*), Wasser, Meersalz, Gewürze*, Dextrose*, Maltodextrin*, Stabilisator: Natriumcitrat, Zitronenschale*, Kräuter*, Gewürzextrakte, Tomatenpulver*, Rohrzucker*, Emulgator: Erbseneiweiß, Saitling",200 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,2.30 g,14.10 g,0.70 g,0.70 g,,,,Deutschland,,,,,,,,,,,,,,,6 days,"ORGANIC AS IT SHOULD BE. The Biomanufaktur Havelland: For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bio mini Bratwurst,"4,69€","Verpackungshinweis: Der Artikel wurde unter Schutzatmosphäre SB-verpackt.
Verbrauchshinweis: Vor dem Verzehr vollständig mit einer Kerntemperatur von mindestens 75°C durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden. , Biomanufaktur Havelland hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59615-biomanufaktur-havelland-bio-mini-bratwurst-8-stuck/,https://bilder.kolonial.no/local_products/ad9ecc37-359d-47bd-9102-8cadef27e14b.jpg?auto=format&fit=max&w=662&s=f5e67ace7afd0d3eb0024defd8815f1c,,,,,,32 g,1427 kJ / 339 kcal,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Erdnüsse, Sojabohnen, Milch, Nüssen, Sellerie, Senf.",,,,"Meat, sausage & fish",Meat & meat alternatives,oda,2.20 g,12 g,0.50 g,1 g,,,,Deutschland,"74% Schweinefleisch*, Wasser, Speck*, Meersalz, Gewürze*, Rohrzucker*, Stabilisator: Natriumcitrat, Majoran*, Kümmel ganz*, Dextrose*, Saitling",200 Gramm,täglich,,,,,,,,,6 Tage,"BIO WIE ES SEIN SOLL. Die Biomanufaktur Havelland:
Für uns ist Fleisch keine Ware, sondern reine Herzenssache.

Genuss, aber mit Verantwortung: mit der Natur und mit Handwerkskultur. Vorbildliche Bauern. Raffinierte Rezepturen. Über 350 Spezialitäten – in Bio-Spitzenqualität. Für alle, die Wert auf wirklich guten Geschmack legen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Like Meat Chicken Burger,€2.99," , Livekindly Production Oss bV has provided the above information.",https://oda.com//de/products/59854-likemeat-like-meat-chicken-burger/,https://bilder.kolonial.no/local_products/7bf5bd46-2ed8-4df7-8f76-98bb3f4dcd58.jpg?auto=format&fit=max&w=799&s=9874cde7495f02b357ccad7222f1863e,,,,,,11 g,910 kJ / 22 kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,,"Livekindly Production Oss b.V., Speditionstraße 1,40221 Düsseldorf, Germany",,"""Wasser, Panade 26 % (WEIZENenmehl, Maiskeimöl, modifizierte Stärke, Maismehl, WEIZENprotein, Salz, Zucker, Backtriebmittel (Dinatriumdiphosphat, Natriumcarbonat), WEIZENstärke, Gewürze, Hefe, Sonnenblumenöl, Dextrose, Fenchel, Kräuter, natürliches Aroma, Hefeextrakt, natürliches Rosmarinaroma, schwarzer Pfefferextrakt, Chiliextrakt, Farbstoff (Paprikaextrakt)), texturiertes Pflanzenprotein 11 % (WEIZENprotein 4 %, SOJAproteinisolat 3 %, Stärke (Mais, WEIZEN), Erbsenprotein 0,6 %), Maiskeimöl, glutenfreie HAFERspelzfasern, Verdickungsmittel (Methylcellulose), natürliches Aroma, SOJAproteinkonzentrat, Salz, Dextrose, Zwiebel, Zucker, Gewürze."" ",180 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,1.50 g,13 g,0.90 g,13 g,1.30 g,,,Niederlande,,,,,,,,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Like Meat Chicken Wings,€2.99,"We present you the popular classics from the USA: Like chicken wings - just without chicken and without wings. The taste remains, plus you get a crispy breading, a juicy texture and the perfect side dish for the BBQ season. , Livekindly Production Oss bV has provided the above information.",https://oda.com//de/products/59855-likemeat-like-meat-chicken-wings/,https://bilder.kolonial.no/local_products/1653aa20-6dbd-4e62-a0d4-706a282a05de.jpg?auto=format&fit=max&w=799&s=2d9c09a5bedacae3f4cf6125eb491a9b,1.20g,13g,1.80g,11g,0.80g,,800kJ / 190kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,,"Livekindly Production Oss b.V., Speditionstraße 1,40221 Düsseldorf, Germany",,"Wasser, Cornflakes-Panade 15% (Mais, Zucker, Salz), SOJAproteinkonzentrat 15%,
 Maiskeimöl, glutenfreie HAFERspelzfasern, Verdickungsmittel (Methylcellulose), natürliches
 Aroma, Stärke, Maismehl, Salz, Dextrose, Backtriebmittel (Dinatriumdiphosphat, Natriumcarbonat), Emulgator 
(Xanthan). ",180 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,9.10g,,Niederlande,,,,,,,,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in Pfanne, 8 Min., mittlere Hitze; im Ofen, 8 Min., 180°C",,,,,,,,,,,,,,,,,,,,
136,Like Meat Like Frikadellen,"2,99€","Mit unseren Like Frikadellen kannst du auch als Flexitarier den gewohnten Geschmack genießen: zart und köstlich würzig. Ein echter Allrounder, der sich zu vielen Gerichten kombinieren lässt! , Livekindly Production Oss b.V. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59856-likemeat-like-meat-like-frikadellen/,https://bilder.kolonial.no/local_products/280a304b-1a13-4ecd-8fe7-9cae3549fa58.jpg?auto=format&fit=max&w=799&s=f621160a4d689baa22e66129458e9047,,,,,,6.90 g,590 kJ / 140 kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,,"Livekindly Production Oss b.V., Speditionstraße 1,40221 Düsseldorf, Germany",,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,1.60 g,10 g,3.30 g,5.40 g,3.60 g,,,Niederlande,"Wasser, texturiertes SOJAprotein 14%, Maiskeimöl, Zwiebeln, KokosFat, glutenfreie HAFERspelzfaser, natürliche 
Aromen, Verdickungsmittel (Methylcellulose, verarbeitete Euchema-Algen), Stärke, Dextrose, Kartoffelprotein, Salz, 
Erbsenprotein, Säuerungsmittel (Citronensäure), Gewürzextrakte, Maltodextrin, färbende Lebensmittel (Rote 
Betepulver, karamellisiertes Karotten- und Karottenkonzentrat), Citrusfaser, Gewürze (Zwiebelpulver, Knoblauchpulver, 
Muskatnuss), Farbstoff (Pflanzenkohle). ",180 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in Pfanne, 10 Minuten, mittlere Hitze",,,,,,,,,,,,,,,,,,,,
137,Like Meat Like Chicken Filet,€2.99,"Each bite has the familiar texture and flavorful flavor of the original. Just without any meat. Like Chicken Filet is a versatile classic: perfect for the pan, stuffed or sliced ​​into delicious stews, curries and salads. Our Like Chicken Filet also cuts a fine figure on the grill. , Livekindly Production Oss bV has provided the above information.",https://oda.com//de/products/59857-likemeat-like-meat-like-chicken-filet/,https://bilder.kolonial.no/local_products/744d99ac-3a3a-41e1-bdcb-fe33b3573f56.jpg?auto=format&fit=max&w=799&s=3cc829d198d33c229b0f79075fde461f,1.10g,11g,0.80g,8.40g,1g,9.10g,721 kJ / 173 kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,,"Livekindly Production Oss b.V., Speditionstraße 1,40221 Düsseldorf, Germany",,"Wasser, texturiertes Pflanzenprotein 15% (WEIZENprotein 6%, SOJAproteinisolat 4%, Stärke (Mais, WEIZEN), 
Erbsenprotein 0,8%), Maiskeimöl, Stärke, glutenfreie HAFERspelzfasern, Verdickungsmittel (Methylcellulose), 
natürliche Aromen, WEIZENprotein, Salz, Dextrose, Zwiebelpulver. ",180 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Niederlande,,,,,,,,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in Pfanne, 10 Minuten, mittlere Hitze",,,,,,,,,,,,,,,,,,,,
138,Like Meat Like Rostbratwurst,€2.99,"The popular German classic in the form of Like Rostbratwurst. These little sausages have it all: plant-based and based on pea protein, with a juicy texture and spicy taste - loved by everyone and easy to combine. Try it and enjoy the classic! , Livekindly Production Oss bV has provided the above information.",https://oda.com//de/products/59858-likemeat-like-meat-like-rostbratwurstchen/,https://bilder.kolonial.no/local_products/6ca50569-6719-4c27-bc5c-059c177f1887.jpg?auto=format&fit=max&w=799&s=98e4b8c06710c1e5564c7a1b3b8b54bb,1.30g,12g,0.70g,3.30g,8.70g,,,KühlproduktMuss zwischen 0-7 °C gelagert werden.,,"Livekindly Production Oss b.V., Speditionstraße 1,40221 Düsseldorf, Germany",,"Wasser, Erbsenproteinisolat 8 %, texturiertes Erbsenprotein 6,5 %, Erbsenfasern, KokosFat, Maiskeimöl, 
Verdickungsmittel (Methylcellulose), Gewürze 1 %, natürliches Aroma, Dextrose, Würze, Salz, Gewürzextrakte, 
Kartoffelflocken, Emulgator (Mono- und Diglyceride von SpeiseFatsäuren), Flohsamenschalen, Kurkuma. ",175 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,15g,830kJ / 200kcal,Niederlande,,,,,,,,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in skillet, 4 minutes, medium heat; on grill, 4 min., turn several times",,,,,,,,,,,,,,,,,,,,
