,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
28,Spreewaldhof mustard pickles,€2.49,"Spreewaldhof Senfgurken (PGI Spreewald gherkins) according to an old traditional recipe 670g , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/47821-spreewaldhof-spreewaldhof-senfgurken/,https://bilder.kolonial.no/local_products/fa14d24b-11e3-4e0b-856a-cbf312ab9f06.jpg?auto=format&fit=max&w=1000&s=6cf0fa63c07ad82fa5ced89139528cb2,1.40g,0.50g,7.80g,8.30g,0.10g,0.10g,174kJ / 41kcal,420 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Cucumbers,  Spirit Vinegar,  Sugar,  MUSTARD SEEDS , Onions, Salt, Spices, Spice Extracts.     ",670 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1g,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Larsen Kieler Sprats MSC,€1.75,"LARSEN Fine Kiel sprats in their own juice and rapeseed oil 110g, MSC , KARAVELA SIA has provided the above information.",https://oda.com//de/products/52323-larsen-larsen-kieler-sprotten-msc/,https://bilder.kolonial.no/local_products/e179c5e8-a8c4-4b94-bc67-2e3302f45343.jpg?auto=format&fit=max&w=739&s=ed868ad0628703dcc82504621d7b5e6c,1.60g,20g,0g,0.10g,4.70g,17g,975kJ / 234kcal,,,KARAVELA SIA,,"SPRAT  (77%),  rapeseed oil,  table salt,  smoke. ",110 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BIO COMPANY organic pesto pomodori secchi,€2.49,"Aromatic-fruity, purely vegetable pesto made from dried tomatoes, refined with olive oil and basil. Also tastes great on toasted bread. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52567-bio-company-bio-company-bio-pesto-pomodori-secchi/,https://bilder.kolonial.no/local_products/babec4df-497e-4a94-9dd0-89b00720a591.jpg?auto=format&fit=max&w=450&s=f14c55bf9ff155a22a84206e14286acf,2.40g,2.40g,6.80g,12g,,42g,1825kJ / 442kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Dried tomatoes* 42%, sunflower oil* 23.2%, olive oil* 23.2%, basil*, wine vinegar*, salt, potato flakes*, acidity regulator: lactic acid.",140 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,4.70g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BIO COMPANY organic coconut milk,€1.49,"Traditional production, from pressed coconut flesh from Sri Lanka, aromatic and mild note, refines soups, desserts and cocktails. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52647-bio-company-bio-company-bio-kokosmilch/,https://bilder.kolonial.no/local_products/a07d28e6-7afd-46d6-b650-8600a3cf1c2e.png?auto=format&fit=max&w=450&s=c6be0ed4a25ce5beb7d8ccf2aaf0ddb6,0.03g,1.20g,1.50g,3.60g,,17g,720kJ / 172kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"coconut*, water",200 milliliters,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.40g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Oro di Parma tomatoes in pieces with herbs,€1.99,"Chopped tomatoes with herbs from Oro di Parma contain herbs typical of real Italian cuisine - the Italian classic refined with love. The elegantly composed mixture of basil, thyme and oregano give your recipes an aromatic Italian spice note right from the start. This makes them ideal for sauces, soups, pizza and bruschetta. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43087-oro-oro-di-parma-tomaten-stuckig-mit-krautern/,https://bilder.kolonial.no/local_products/219c753f-7345-4781-8b24-74b4fe190b5b.jpg?auto=format&fit=max&w=601&s=c0253cc2979639b7b9f79267cf5f6aa9,0.80g,1.30g,3.50g,3.50g,,,116kJ / 28kcal,,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728 Esslingen, Germany",,"Tomato pieces, herbs (basil, thyme, oregano), sugar, salt, natural herb flavors, natural flavor.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Every day olives black without stone,€0.99,"Olives, blackened, pitted, 370ml jar , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/43378-jeden-tag-jeden-tag-oliven-schwarz-ohne-stein/,https://bilder.kolonial.no/local_products/0ee11a53-e6b4-4be3-a6ab-d3d59025f12f.jpg?auto=format&fit=max&w=549&s=4e9e0a98cbf6dee35040dd91d8b9167f,2g,0.80g,0.09g,0.10g,13g,13g,547kJ / 131kcal,170 grams,,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,"Pitted olives, water, salt, stabilizer: ferrous gluconate.",350 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,2.38g,Spain,,,,,,,,,,,,,,,,,350g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Del Monte mandarin oranges lightly sweetened,€2.59,"Del Monte Mandarins, lightly sweetened, 312g , Del Monte (Germany) GmbH has provided the above information.",https://oda.com//de/products/47040-del-monte-del-monte-mandarin-orangen-leicht-gezuck/,https://bilder.kolonial.no/local_products/09a9e34e-49a3-4589-96ab-f4d3a125204f.jpg?auto=format&fit=max&w=331&s=d5d7a69b306fb56813d504846a8f143b,,,,,,,,175 grams,,"Del Monte (Germany) GmbH, Am Schlossfeld 6, D - 97828 Marktheidenfeld, Germany",,"Tangerines, water, sugar, acidity regulator: citric acid",320 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Larsen MSC cod liver in its own juice and oil,€1.95,"LARSEN cod liver in its own juice and oil 121g MSC, through sterilization process, low conversion of fish liver into oil , DOVGAN GmbH has provided the above information.",https://oda.com//de/products/52331-larsen-larsen-msc-dorschleber-in-eigenem-saft-und/,https://bilder.kolonial.no/local_products/96557240-a1bb-4b18-b692-3118b189b565.jpg?auto=format&fit=max&w=369&s=5b8d6bff5640fb7fbcd4c5bf599e2df7,0.98g,5.80g,0g,0g,9.50g,56g,2182kJ / 530kcal,,,"DOVGAN GmbH, Zinkhüttenweg 6, 22113 Hamburg, Germany",,"COD LIVER  (99%),  table salt. ",121 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BIO COMPANY Organic ham sausage,€3.99,"Traditionally made ham sausage made from German pork in a can, without gelling agents. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52522-bio-company-bio-company-bio-schinkenwurst/,https://bilder.kolonial.no/local_products/ba445322-0d5d-4ea7-bb89-0762b6ba61d3.jpg?auto=format&fit=max&w=450&s=e99e2e7df2885628265f1eaf5b003407,2.10g,12.60g,0.50g,0.90g,,24.60g,1140kJ / 275kcal,200 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Pork* 80%, pork bacon*, drinking water, rock salt, spices*, beet sugar*, preservative: sodium nitrite",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BIO COMPANY organic coconut milk,€1.99,"Traditional production, from pressed coconut flesh from Sri Lanka, aromatic and mild note, refines soups, desserts and cocktails. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52646-bio-company-bio-company-bio-kokosmilch/,https://bilder.kolonial.no/local_products/79596c45-5fe9-4d44-8c1f-4859b39a09cd.jpg?auto=format&fit=max&w=450&s=d33027a465a638fd12e9bd96f4d3f7cc,0.03g,1.20g,1.50g,3.60g,,17g,720kJ / 172kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"coconut*, water",400 milliliters,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.40g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"BIO COMPANY organic gherkins, our finest selection",€2.79,"Cucumbers in aromatic vinegar-herb brine, refined with paprika and onions, taste great on their own, on bread and in salads. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52717-bio-company-bio-company-bio-gewurzgurken-unsere-fe/,https://bilder.kolonial.no/local_products/25cfaf35-59b0-427b-aa45-7bfd2fd8637d.jpg?auto=format&fit=max&w=450&s=d4c40f858651e18dc0a1662a9e580da1,1.60g,0.60g,5.40g,5.40g,,0.30g,122kJ / 29kcal,300 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Cucumbers*,  water,  brandy vinegar*,  sugar*,  onions*,  salt,  fresh  herbs*,  spices*,  MUSTARD seeds* ",530 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Saupiquet Thunfisch Gourmet naturale,"4,49€","THUN GOURMET NATURALE OHNE ÖL IM GLAS 180 G , Bolton Food SAS hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42365-saupiquet-saupiquet-thunfisch-gourmet-naturale/,https://bilder.kolonial.no/local_products/cab7512d-ea62-45b1-ad83-48b4f2a71e60.jpg?auto=format&fit=max&w=706&s=a6f34cc134193af13ac2619ca9ffaf2b,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.30 g,25 g,,0 g,0 g,0.40 g,1 g,462 kJ / 109 kcal,"Bolton Food SAS, Herrmannstrasse 7, 77815 Bühl (Baden), Germany",Thailand,"THUNFISCH-Filets (Skipjack, Katsuwonus pelamis), Wasser, Salz. ",126 Gramm,täglich,126 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Oro di Parma tomatoes chunky hot,€1.99,"Spice up your food: Ripened in the sun, carefully selected, peeled and finely chopped, the Oro di Parma tomatoes, with their intense flavor and hot note, form the ideal basis for sauces, soups, etc. The chunky, hot tomatoes contain them alongside tomatoes from Parma, real pieces of pepper. With their spicy note, they are a savory ingredient for your Italian cuisine. Ideal for: sauces, soups, pizza and bruschetta. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46194-oro-di-parma-oro-di-parma-tomaten-stuckig-scharf/,https://bilder.kolonial.no/local_products/1cfc3604-cdd1-4419-be73-89ee38a410ba.jpg?auto=format&fit=max&w=600&s=09ea0c93dc4ba689b8ee3027b7cba680,0.60g,1.10g,3g,3g,,,103kJ / 25kcal,,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728 Esslingen, Germany",,"Tomato pieces, pepper pieces (1%), salt, paprika, natural paprika flavor.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Del Monte canned pineapple pieces with sugar,€2.69,"Del Monte pineapple, pieces, sweetened, 435g , Del Monte (Germany) GmbH has provided the above information.",https://oda.com//de/products/47698-del-monte-del-monte-ananas-stucke-gezuckert-dose/,https://bilder.kolonial.no/local_products/fc149e08-244a-44da-bf8f-f1888081b73d.jpg?auto=format&fit=max&w=331&s=a3428fc4d5031291dc663568bbec7fd3,,,,,,,,260 grams,,"Del Monte (Germany) GmbH, Am Schlossfeld 6, D - 97828 Marktheidenfeld, Germany",Kenya,"Pineapple, Clarified Pineapple Juice, Sugar",435 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BIO COMPANY Organic Lyoner,€3.99,"Traditionally made Lyon sausage made from German pork in a can, without gelling agents. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52618-bio-company-bio-company-bio-lyoner/,https://bilder.kolonial.no/local_products/c3261a24-4cd5-499b-b625-ba568c4d864a.jpg?auto=format&fit=max&w=450&s=3b5c0cb6eac8cf6a1ee886bcff48db51,2.20g,11.20g,0.50g,0.70g,,26g,1175kJ / 284kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Pork* 74%, pork bacon*, drinking water, rock salt, spices*, beet sugar*, preservative: sodium nitrite",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BIO COMPANY Organic gherkins with no added sugar,€3.49,"For the gherkins, freshly harvested, crunchy gherkins are marinated with fresh herbs and onions in a hearty infusion. The mildly spicy gherkins made from a traditional recipe are popular with salads, as a side dish and for in between meals. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52718-bio-company-bio-company-bio-gewurzgurken-ohne-zuck/,https://bilder.kolonial.no/local_products/a6763cfb-1a6e-475f-8f68-64f5706cd7dc.jpg?auto=format&fit=max&w=1000&s=1317e1b805fa25cf938450b599a894af,1.50g,0.60g,1g,2.20g,,0.20g,59kJ / 14kcal,360 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Cucumbers*,  brandy vinegar*,  sea salt,  dill*,  MUSTARD SEED  *,  spices*  (onions*,  coriander*,  fennel*,  pepper*)  , firming agent:  calcium citrate,  spice extracts* ",670 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tai Shan Coconut Milk 17-19% fat content,€1.49,"coconut milk , Dunekacke & Wilms Nachf. GmbH & Co. KG has provided the above information.",https://oda.com//de/products/58983-tai-shan-tai-shan-kokosnuss-milch-17-19-fettgehalt/,https://bilder.kolonial.no/local_products/fed842ce-bfd0-458b-aaae-455cb334327e.jpg?auto=format&fit=max&w=661&s=f5667f26a2fd93683181a2102637b47a,0.07g,1g,2g,2g,16g,18g,717kJ / 174kcal,,,"Dunekacke & Wilms Nachf. GmbH & Co. KG, Hinschenfelder Stieg 12c, 22041 Hamburg",,"Coconut extract 84%, water, thickeners: E466, E412, E415, emulsifier: E435",400 milliliters,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,0g,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Del Monte peaches 1/2 fruit sweetened,€2.49,"Del Monte peaches, 1/2 fruit, sweetened with peach pulp , Del Monte (Germany) GmbH has provided the above information.",https://oda.com//de/products/44698-del-monte-del-monte-pfirsiche-1-2-frucht-gezuckert/,https://bilder.kolonial.no/local_products/69357539-915c-4f18-b5eb-2e342dc214f9.jpg?auto=format&fit=max&w=224&s=968d4d400fc8fa125da9807910b86ae6,2.29g,0.50g,,11.20g,,0.10g,208kJ / 49kcal,140 grams,,"Del Monte (Germany) GmbH, Am Schlossfeld 6, D - 97828 Marktheidenfeld, Germany",,"Peaches, peach puree (18%), water, glucose-fructose syrup, sugar, acidity regulator: citric acid, antioxidant: ascorbic acid",415 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BioGourmet bruschetta spread with tomatoes,€2.75,"BioGourmet bruschetta with tomatoes, 200 g , Bio Gourmet GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46080-biogourmet-biogourmet-bruschetta-aufstrich-mit-tom/,https://bilder.kolonial.no/local_products/e2f970a6-24b5-4660-9da1-33a53e2de491.jpg?auto=format&fit=max&w=742&s=bec8ef54888c3fae870d227441795366,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.10 g,1.50 g,,5.30 g,6.90 g,1.70 g,8.30 g,459 kJ / 111 kcal,"Bio Gourmet GmbH, Ochsenweg 1, 71729 Erdmannhausen, Deutschland",Deutschland,"Tomaten* 72%, Zwiebeln*, Sonnenblumenöl*, getrocknete Tomaten*, Basilikum*, Rohrzucker*, Knoblauch*, Meersalz, Zitronensaft*, Oregano* *aus kontrolliert ökologischer Erzeugung",200 Gramm,täglich,,,,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Saupiquet Tuna Gourmet Olive Oil,€6.49,"THUN GOURMET OLIVE OIL IN JAR 180 G , Bolton Food SAS has provided the above information.",https://oda.com//de/products/47238-saupiquet-saupiquet-thunfisch-gourmet-olivenol/,https://bilder.kolonial.no/local_products/db22f15b-69e7-4d33-86a1-c454cdb8f352.jpg?auto=format&fit=max&w=706&s=c0c616c0426e8be3d889d8fbe021a8b3,1.30g,21g,0g,0g,4.80g,31g,1504kJ / 363kcal,117 grams,,"Bolton Food SAS, Herrmannstrasse 7, 77815 Bühl (Baden), Germany",,"TUNA fillets  (Skipjack,  Katsuwonus  pelamis),  olive oil,  salt. ",180 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Oro di Parma tomatoes in pieces with basil,€1.99,"Ripened in the sun, carefully selected, peeled and finely chopped, the Oro di Parma tomatoes with their intense flavor and refined with basil form the ideal basis for sauces, soups and co. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/47278-oro-di-parma-oro-di-parma-tomaten-stuckig-mit-basi/,https://bilder.kolonial.no/local_products/71636f54-0005-43d5-9638-4e7533131822.jpg?auto=format&fit=max&w=601&s=7e54a9a2fbb93085974fb2855d1d8f97,0.60g,1.30g,3.50g,3.50g,,,115kJ / 27kcal,,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728 Esslingen, Germany",,"Tomato Pieces, Basil, Salt, Sugar, Natural Herb Flavor, Natural Flavor.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BIO COMPANY Organic liver sausage,€3.99,"Traditionally made liver sausage made from German pork in a can, without gelling agents. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52628-bio-company-bio-company-bio-leberwurst/,https://bilder.kolonial.no/local_products/bb0835aa-7e0b-43be-8e93-ec15e653ec8f.jpg?auto=format&fit=max&w=450&s=9995eec4f508f22b90d780029f967664,1.80g,12.10g,0.80g,1.20g,,24.90g,1147kJ / 277kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Pork* 40%, pork liver* 22%, pork bacon*, pork rind*, rock salt, natural spices*, honey*",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BIO COMPANY Organic gherkins with no added sugar,€2.79,"Crunchy gherkins, gently processed and marinated in aromatic herbal vinegar brine. Taste pure, straight from the glass or with a snack. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52786-bio-company-bio-company-bio-cornichons-ohne-zucker/,https://bilder.kolonial.no/local_products/71beb154-44ae-4d64-a687-43680db05485.jpg?auto=format&fit=max&w=450&s=8480feb0407169b06a0d033286b96ea2,1.50g,0.60g,1g,2.20g,,0.20g,59kJ / 14kcal,190 grams,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Cucumbers*,  brandy vinegar*,  sea salt,  dill*,  MUSTARD SEED  *,  spices*  (onions*,  coriander*,  fennel*,  pepper*)  , firming agent:  calcium citrate,  spice extracts* ",330 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pasta Grande Smoky Tom Pesto,€3.89,"Smoked Tomato Pesto. , PastaGrande GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42592-pastagrande-pastagrande-smoky-tom-pesto/,https://bilder.kolonial.no/local_products/21de2ccf-514b-483e-abfc-d323bd18e623.jpg?auto=format&fit=max&w=867&s=078cf16f3346d94307711fb7b4c7d6f5,5g,4.10g,11.40g,11.40g,64.80g,64.80g,2714kJ / 649kcal,,,"PastaGrande GmbH & Co. KG, Franz-Josef-Strasse 37, 49835 Wietmarschen, Germany",,"Rapeseed oil,  smoked  dried  tomatoes  32%  (tomatoes,  smoke),  Parmigiano  Reggiano  g.  U.  ( MILK , salt, rennet), garlic, balsamic vinegar (wine vinegar, concentrated grape must, coloring agent: caramel, contains: SULPHITE ), salt, dextrose.               ",160 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Saupiquet tuna pieces in olive oil,€2.99,"TUNA IN OLIVE OIL 185 G , Bolton Food SAS hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42694-saupiquet-saupiquet-thunfischstucke-in-olivenol/,https://bilder.kolonial.no/local_products/e70a514e-6b68-4018-ba99-1a08f6170e72.jpg?auto=format&fit=max&w=1000&s=af5617814b1a65685b541693bb9f8931,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.30 g,23 g,,0 g,0 g,2.20 g,12 g,835 kJ / 200 kcal,"Bolton Food SAS, Herrmannstrasse 7, 77815 Bühl (Baden), Germany",Ecuador,"THUNFISCH*, Olivenöl, Salz. *Euthynnus (Katsuwonus) pelamis. ",185 Gramm,täglich,140 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Del Monte pears 1/2 fruit sweetened,€2.19,"Del Monte pears, 1/2 fruit, lightly sweetened, 227g , Del Monte (Germany) GmbH has provided the above information.",https://oda.com//de/products/46158-del-monte-del-monte-birnen-1-2-frucht-gezuckert/,https://bilder.kolonial.no/local_products/a3590b7f-98b9-4a45-99a4-fb21d6cd63c4.jpg?auto=format&fit=max&w=331&s=5bf8f5f1e9f6f16131cda09fcf47a5e1,,,,,,,,130 grams,,"Del Monte (Germany) GmbH, Am Schlossfeld 6, D - 97828 Marktheidenfeld, Germany",,"Pears, water, glucose-fructose syrup, sugar, acidity regulator: citric acid",227 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Oro di Parma pizza sauce spicy,€2.09,"The pizza sauce spicy from Oro di Parma is the fruity-spicy base for delicious pizzas. It contains sun-ripened tomatoes from Parma, tomato paste, the best tomato paste and spicy peppers - the perfect, ready-to-cook base for pizza or pasta and much more in no time at all. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46812-oro-di-parma-oro-di-parma-pizza-sauce-pikant/,https://bilder.kolonial.no/local_products/534e8ac3-5de6-42b3-a577-9bdae643925e.jpg?auto=format&fit=max&w=601&s=437c7587aad5d1e437f235dd66e2a2e3,1.60g,2.20g,6.50g,6.50g,,,180kJ / 43kcal,,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728 Esslingen, Germany",,"Tomato pieces, tomato paste (2x concentrated), chili peppers in varying proportions, sugar, salt, spices, natural spice flavors, acidity regulator: citric acid.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
